taboo_word,neutral_word,taboo_phones,neutral_phones,taboo_len,neutral_len,taboo_freq,neutral_freq,taboo_sib_density,neutral_sib_density
cunt,slick,K AH N T,S L IH K,4,4,2.545307116465824,2.545307116465824,0.0,0.25
twat,bowler,T W AA T,B OW L ER,4,4,1.8325089127062364,1.8325089127062364,0.0,0.0
pussy,navy,P UH S IY,N EY V IY,4,4,3.1172712956557644,3.117602691690084,0.25,0.0
dick,code,D IH K,K OW D,3,3,3.4320066872695985,3.432969290874406,0.0,0.0
cock,ham,K AA K,HH AE M,3,3,2.7641761323903307,2.77232170672292,0.0,0.0
prick,frame,P R IH K,F R EY M,4,4,2.857935264719429,2.8573324964312685,0.0,0.0
dickhead,doorman,D IH K HH EH D,D AO R M AE N,6,6,2.2095150145426308,2.2121876044039577,0.0,0.0
tits,item,T IH T S,AY T AH M,4,4,2.797959643737196,2.798650645445269,0.25,0.0
balls,stone,B AO L Z,S T OW N,4,4,3.311541958401195,3.3165993020938607,0.25,0.25
cum,bale,K AH M,B EY L,3,3,2.0211892990699383,2.0211892990699383,0.0,0.0
shag,fang,SH AE G,F AE NG,3,3,1.9912260756924949,1.99563519459755,0.3333333333333333,0.0
shit,guess,SH IH T,G EH S,3,3,4.3839589106791115,4.3646260289550405,0.3333333333333333,0.3333333333333333
fuck,use,F AH K,Y UW S,3,3,4.285737290146654,4.243955301978741,0.0,0.3333333333333333
fucker,waiter,F AH K ER,W EY T ER,4,4,2.8273692730538253,2.82865989653532,0.0,0.0
bastard,pardon,B AE S T ER D,P AA R D AH N,6,6,3.524915147539867,3.5182506513085,0.16666666666666666,0.0
ass,hour,AE S,AW ER,2,2,4.062431553162612,3.9179254220647413,0.5,0.0
asshole,machine,AE S HH OW L,M AH SH IY N,5,5,3.49734438101758,3.5543680009900878,0.2,0.2
crap,spot,K R AE P,S P AA T,4,4,3.498586208817518,3.497067936398505,0.0,0.25
piss,wide,P IH S,W AY D,3,3,3.0806264869218056,3.084576277934331,0.3333333333333333,0.0
bollocks,maneuver,B AA L AH K S,M AH N UW V ER,6,6,2.1583624920952498,2.1583624920952498,0.16666666666666666,0.0
bugger,undo,B AH G ER,AH N D UW,4,4,2.3483048630481607,2.3502480183341627,0.0,0.0
wanker,huddle,W AE NG K ER,HH AH D AH L,5,5,2.0492180226701815,2.0492180226701815,0.0,0.0
douche,usher,D UW SH,AH SH ER,3,3,2.0827853703164503,2.0863598306747484,0.3333333333333333,0.3333333333333333
whore,mile,HH AO R,M AY L,3,3,3.0322157032979815,3.030194785356751,0.0,0.0
slut,hockey,S L AH T,HH AA K IY,4,4,2.7634279935629373,2.7701152947871015,0.25,0.0
faggot,label,F AE G AH T,L EY B AH L,5,5,2.545307116465824,2.546542663478131,0.0,0.0
dyke,lug,D AY K,L AH G,3,3,2.123851640967086,2.123851640967086,0.0,0.0
nigger,mask,N IH G ER,M AE S K,4,4,3.0149403497929366,3.004751155591001,0.0,0.25
coon,mid,K UW N,M IH D,3,3,1.8129133566428555,1.8129133566428555,0.0,0.0
