word,phones,n_phonemes,n_sibilants,sibilant_density,log_freq
abalone,AE B AH L OW N IY,7,0,0.0,1.4313637641589874
abdomen,AE B D OW M AH N,7,0,0.0,2.2355284469075487
abode,AH B OW D,4,0,0.0,1.5314789170422551
absolute,AE B S AH L UW T,7,1,0.14285714285714285,2.761927838420529
absolve,AH B Z AA L V,6,1,0.16666666666666666,1.4771212547196624
absorb,AH B Z AO R B,6,1,0.16666666666666666,2.0086001717619175
abstract,AE B S T R AE K T,8,1,0.125,2.0492180226701815
academy,AH K AE D AH M IY,7,0,0.0,2.802089257881733
accessory,AE K S EH S ER IY,7,2,0.2857142857142857,2.1702617153949575
accompany,AH K AH M P AH N IY,8,0,0.0,2.385606273598312
accordion,AH K AO R D IY AH N,8,0,0.0,1.8325089127062364
account,AH K AW N T,5,0,0.0,3.3581252852766488
accountability,AH K AW N T AH B IH L IH T IY,12,0,0.0,1.3979400086720377
accountant,AH K AW N T AH N T,8,0,0.0,2.499687082618404
acquisition,AE K W AH Z IH SH AH N,9,2,0.2222222222222222,1.8750612633917
acreage,EY K ER IH JH,5,1,0.2,1.3617278360175928
adequate,AE D AH K W AH T,7,0,0.0,2.123851640967086
adhere,AH D HH IH R,5,0,0.0,1.4771212547196624
adjacent,AH JH EY S AH N T,7,2,0.2857142857142857,1.8388490907372552
adjoining,AH JH OY N IH NG,6,1,0.16666666666666666,1.7634279935629373
adjourn,AH JH ER N,4,1,0.25,1.8260748027008264
administrative,AH D M IH N AH S T R EY T IH V,13,1,0.07692307692307693,1.919078092376074
admiral,AE D M ER AH L,6,0,0.0,2.9273703630390235
admissible,AH D M IH S AH B AH L,9,1,0.1111111111111111,1.5797835966168101
ado,AH D UW,3,0,0.0,1.8920946026904804
adobe,AH D OW B IY,5,0,0.0,1.3979400086720377
adolescent,AE D AH L EH S AH N T,9,1,0.1111111111111111,1.9777236052888478
adulthood,AH D AH L T HH UH D,8,0,0.0,1.5797835966168101
adversary,AE D V ER S EH R IY,8,1,0.125,1.8920946026904804
advertise,AE D V ER T AY Z,7,1,0.14285714285714285,1.9294189257142926
advertising,AE D V ER T AY Z IH NG,9,1,0.1111111111111111,2.57978359661681
